name,gender
mahakaya,M
mahaketu,M
mahakram,M
mahamani,M
mahamati,M
mahant,M
mahanidhi,M
mahapurush,M
maharanth,M
maharshi,M
mahasvin,M
mahatru,M
mahavir,M
maheepati,M
mahendra,M
mahesh,M
maheshwar,M
mahi,M
mahin,M
mahipal,M
mahipati,M
mahish,M
mahit,M
mairava,M
maitreya,M
makarand,M
makhesh,M
makrand,M
makul,M
malak,M
malank,M
malay,M
malaya,M
malhar,M
mallesh,M
mamraj,M
manaal,M
manaar,M
manan,M
manas,M
manav,M
manavendra,M
mandaar,M
mandakranta,M
mandar,M
mandeep,M
mandhatri,M
maneendra,M
maneesh,M
maneet,M
manendra,M
mangal,M
mangesh,M
manhar,M
mani,M
manibhushan,M
manidhar,M
manik,M
manikaant,M
manikandan,M
manindra,M
maniram,M
manish,M
manishankar,M
manit,M
manjeet,M
manjughosh,M
manjul,M
manjyot,M
manmohan,M
mannan,M
manohar,M
manoj,M
manojavaya,M
manomay,M
manoranjan,M
manorath,M
manotej,M
manprasad,M
mansukh,M
manthan,M
mantram,M
manu,M
manuraj,M
manvendra,M
manvir,M
manyu,M
maraal,M
maraam,M
mardav,M
mareechi,M
markandeya,M
martand,M
martanda,M
marudeva,M
marut,M
maruti,M
matanga,M
matheysh,M
matsyendra,M
maulik,M
mayank,M
mayon,M
maysoon,M
mayukh,M
mayur,M
medh,M
medhansh,M
meer,M
megh,M
meghaj,M
meghan,M
meghashyam,M
meghnaad,M
meghdutt,M
meghnad,M
meghraj,M
mehaan,M
mehal,M
mehtab,M
mehul,M
mihir,M
mihirkiran,M
mikesh,M
mikul,M
milan,M
miland,M
milap,M
milind,M
milit,M
minal,M
minesh,M
misal,M
misri,M
mitali,M
mitansh,M
miten,M
mitesh,M
mithil,M
mithilesh,M
mithran,M
mithun,M
mitra,M
mitrajit,M
mitul,M
modak,M
moh,M
mohajit,M
mohak,M
mohal,M
mohan,M
mohin,M
mohit,M
mohnish,M
mohul,M
monish,M
moorti,M
moti,M
motilal,M
moulik,M
mridul,M
mrigaa,M
mrigaj,M
mrigalochan,M
mrigank,M
mrigankamouli,M
mrigankasekhar,M
mrigasya,M
mrigendra,M
mrigesh,M
mrinaal,M
mrinank,M
mrinendra,M
mritunjay,M
mudgal,M
mudil,M
mudit,M
mukesh,M
mukta,M
muktananda,M
mukul,M
mukund,M
mukunda,M
mukut,M
mulkraj,M
muna,M
muneendra,M
muni,M
munish,M
muraaree,M
murad,M
muralee,M
murali,M
muralidhar,M
muralimanohar,M
murari,M
murarilal,M
murgesh,M
murli,M
murugan,M
naabhi,M
naag,M
naagarjun,M
naagdhar,M
naagendra,M
naagesh,M
naagpal,M
naagpati,M
naagraaj,M
naakesh,M
naamdev,M
naanak,M
naaraayan,M
naarad,M
nabendu,M
nabhij,M
nabhoj,M
nabhya,M
nabhomani,M
nachik,M
nachiket,M
nachiketa,M
nadeen,M
nadeesh,M
nadish,M
nagdhar,M
nagendra,M
nagesh,M
nageshwaran,M
naggar,M
nahush,M
naimish,M
nairit,M
naishadh,M
naitik,M
nakhraj,M
nakshatra,M
naksatraraja,M
nakul,M
nal,M
nalesh,M
nalin,M
nalinaksh,M
nalinikant,M
naman,M
namdev,M
namish,M
namit,M
nand,M
nanda,M
nandak,M
nandakumar,M
nandan,M
nandi,M
nandin,M
nandish,M
nandlaal,M
narad,M
narahari,M
narasimha,M
narayan,M
narayana,M
narayanan,M
narendra,M
narendranath,M
naresh,M
narhari,M
narmad,M
narottam,M
narsi,M
narsimha,M
nartan,M
nartana,M
naruna,M
natesh,M
nateshwar,M
nathan,M
natraj,M
natwar,M
naubahar,M
nauhar,M
nauka,M
naval,M
navaj,M
navaneet,M
navashen,M
naveen,M
navin,M
navendu,M
navinchandra,M
navisha,M
navrang,M
navratan,M
navtej,M
nawal,M
nawalkishor,M
nawar,M
nayak,M
nayakan,M
nayan,M
nehan,M
neel,M
neelabh,M
neeladri,M
neelam,M
neelamani,M
neelambar,M
neelambuj,M
neelanchal,M
neelanjan,M
neelesh,M
neelgreev,M
neelkamal,M
neelkanth,M
neelmadhav,M
neelotpal,M
neerad,M
neeraj,M
neerav,M
nehal,M
nesayem,M
nibaal,M
nibodh,M
nidhish,M
nigam,M
nihaar,M
nihal,M
nikash,M
niket,M
niketan,M
nikhil,M
nikhilesh,M
nikunj,M
nikunja,M
nilabh,M
nilay,M
nilesh,M
nimai,M
nimesh,M
nimish,M
ninad,M
nipun,M
niraamay,M
nirad,M
niraj,M
nirajit,M
niramay,M
niramitra,M
niranjan,M
nirankar,M
nirav,M
nirbhay,M
nirbhik,M
nirdhar,M
nirek,M
nirijhar,M
niriksh,M
nirish,M
nirmal,M
nirmay,M
nirmit,M
nirmohi,M
nirupam,M
nirvan,M
nisarg,M
nish,M
nishad,M
nishakar,M
nishikar,M
nishakant,M
nishikant,M
nishan,M
nishanath,M
nishant,M
nishar,M
nishat,M
nishchal,M
nishesh,M
nishikaant,M
nishil,M
nishinath,M
nishith,M
nishkarsh,M
nishok,M
nissim,M
nisyaanthan,M
niteesh,M
nitesh,M
nitish,M
nitin,M
nityam,M
nityagopal,M
nityananda,M
nityanta,M
nitya,M
nivedh,M
nivrutti,M
nridev,M
nrip,M
nripendra,M
nripesh,M
nrupadh,M
obalesh,M
ohas,M
ojal,M
ojas,M
ojayit,M
om,M
oma,M
omanand,M
omar,M
omarjeet,M
